Series	Platform
GSE35988	GPL9075
GSE35988	GPL9128
GSE36105	GPL2641
GSE3884	GPL2705
GSE3884	GPL3041
GSE3884	GPL3254
GSE3884	GPL3271
GSE3884	GPL3272
GSE37141	GPL8693
GSE37259	GPL6801
GSE37342	GPL8887
GSE38479	GPL8687
GSE40142	GPL6801
GSE37987	GPL15436
GSE39130	GPL3718
GSE39280	GPL15793
GSE4057	GPL1709
GSE4057	GPL3291
GSE4057	GPL3370
GSE4355	GPL3508
GSE4355	GPL3514
GSE38815	GPL4091
GSE37978	GPL11157
GSE4297	GPL3472
GSE4297	GPL3481
GSE37977	GPL6801
GSE39710	GPL8887
GSE39371	GPL6801
GSE38015	GPL6985
GSE38015	GPL6986
GSE85814	GPL3718
GSE85814	GPL3720
GSE77775	GPL6801
GSE76437	GPL16110
GSE72732	GPL8887
GSE72732	GPL20886
GSE65569	GPL18637
GSE91072	GPL6801
GSE63306	GPL4091
GSE63306	GPL10449
GSE93077	GPL16131
GSE96904	GPL9777
GSE51265	GPL3718
GSE45582	GPL16895
GSE41646	GPL6801
GSE53425	GPL13829
GSE46826	GPL10152
GSE5169	GPL3898
GSE41253	GPL8687
GSE47204	GPL16131
GSE43810	GPL10123
GSE41297	GPL16131
GSE47912	GPL9128
GSE47904	GPL16573
GSE42631	GPL3718
GSE42631	GPL3720
GSE42631	GPL6801
GSE52585	GPL11358
GSE47077	GPL6801
GSE43934	GPL6801
GSE55042	GPL6801
GSE47443	GPL10150
GSE43060	GPL3718
GSE43060	GPL3720
GSE4659	GPL2873
GSE49082	GPL13829
GSE43168	GPL8888
GSE43168	GPL16110
GSE46745	GPL6801
GSE41120	GPL2616
GSE50808	GPL3332
GSE44297	GPL8888
GSE47507	GPL6801
GSE44739	GPL3718
GSE54576	GPL13829
GSE5316	GPL3789
GSE5316	GPL3868
GSE5316	GPL3869
GSE5316	GPL3993
GSE4747	GPL2024
GSE45190	GPL16795
GSE40769	GPL6801
GSE49215	GPL6801
GSE49215	GPL11157
GSE42738	GPL16342
GSE47506	GPL4091
GSE47506	GPL10123
GSE52691	GPL17977
GSE4884	GPL3749
GSE4884	GPL3783
GSE56334	GPL6801
GSE56884	GPL18586
GSE57018	GPL6801
GSE57229	GPL18636
GSE57277	GPL3720
GSE5951	GPL3291
GSE5951	GPL3335
GSE6040	GPL4453
GSE58232	GPL6801
GSE6109	GPL2004
GSE6109	GPL2005
GSE60116	GPL10152
GSE6375	GPL3514
GSE60886	GPL5175
GSE60886	GPL6801
GSE60886	GPL15793
GSE63028	GPL16131
GSE64109	GPL3720
GSE64121	GPL11157
GSE64729	GPL13135
GSE64730	GPL13135
GSE65424	GPL6801
GSE65484	GPL4091
GSE66668	GPL3718
GSE66668	GPL6801
GSE67047	GPL6801
GSE68476	GPL6801
GSE68508	GPL13829
GSE49	GPL179
GSE70397	GPL18637
GSE7230	GPL4894
GSE7527	GPL5000
GSE7527	GPL5114
GSE7376	GPL5046
GSE7427	GPL5056
GSE70653	GPL6801
GSE7545	GPL3718
GSE7545	GPL3720
GSE72150	GPL3718
GSE72192	GPL3718
GSE72192	GPL3720
GSE72660	GPL3720
GSE72660	GPL6801
GSE72665	GPL10150
GSE73074	GPL8855
GSE73558	GPL6801
GSE73822	GPL6801
GSE7949	GPL5338
GSE8067	GPL2843
GSE8067	GPL3055
GSE8067	GPL3441
GSE8067	GPL3442
GSE8067	GPL3443
GSE8164	GPL3720
GSE77368	GPL16131
GSE77508	GPL13135
GSE77975	GPL10152
GSE77975	GPL11358
GSE77975	GPL16237
GSE77975	GPL21461
GSE8333	GPL1266
GSE8333	GPL2641
GSE8628	GPL5477
GSE8628	GPL5571
GSE8627	GPL2879
GSE8627	GPL5677
GSE8649	GPL3718
GSE8649	GPL3720
GSE8652	GPL4541
GSE8652	GPL5620
GSE8804	GPL2873
GSE8804	GPL2879
GSE85295	GPL10123
GSE85428	GPL6801
GSE9177	GPL4091
GSE87838	GPL8882
GSE87838	GPL21135
GSE9611	GPL2641
GSE9611	GPL3718
GSE9611	GPL3720
GSE9654	GPL2879
GSE9829	GPL570
GSE9829	GPL3720
GSE10007	GPL2005
GSE10822	GPL6575
GSE11155	GPL6737
GSE11573	GPL2843
GSE11573	GPL5477
GSE12019	GPL3720
GSE12629	GPL3718
GSE12629	GPL3720
GSE12660	GPL3718
GSE12702	GPL3718
GSE12702	GPL3720
GSE12759	GPL4723
GSE12759	GPL7247
GSE12813	GPL6322
GSE12813	GPL7321
GSE12813	GPL7322
GSE12813	GPL7323
GSE12813	GPL7324
GSE12813	GPL7325
GSE12928	GPL4133
GSE12928	GPL5477
GSE12902	GPL570
GSE12902	GPL13392
GSE13137	GPL2004
GSE13239	GPL2879
GSE13429	GPL3718
GSE13429	GPL6801
GSE13813	GPL2005
GSE14087	GPL3718
GSE14087	GPL3720
GSE14845	GPL570
GSE14845	GPL3720
GSE14742	GPL8036
GSE14740	GPL8036
GSE14744	GPL8036
GSE14859	GPL8186
GSE14996	GPL8226
GSE15010	GPL8167
GSE15027	GPL8233
GSE15172	GPL4091
GSE15126	GPL1352
GSE15126	GPL3718
GSE15126	GPL3720
GSE15521	GPL5571
GSE14867	GPL6801
GSE2221	GPL1831
GSE16608	GPL8581
GSE16619	GPL3718
GSE16619	GPL3720
GSE16619	GPL6804
GSE16937	GPL2641
GSE17091	GPL6985
GSE17396	GPL4093
GSE17907	GPL570
GSE17907	GPL9128
GSE18098	GPL2879
GSE18098	GPL5477
GSE18154	GPL9216
GSE18461	GPL6984
GSE18642	GPL6801
GSE19040	GPL6984
GSE19040	GPL6985
GSE19040	GPL8882
GSE19247	GPL6985
GSE19247	GPL8855
GSE19425	GPL9775
GSE19425	GPL9776
GSE20394	GPL9128
GSE20533	GPL6801
GSE20533	GPL6983
GSE20634	GPL10118
GSE20709	GPL6801
GSE20939	GPL3718
GSE20939	GPL3720
GSE21091	GPL6986
GSE21259	GPL4723
GSE21259	GPL7247
GSE21259	GPL9077
GSE21468	GPL4093
GSE21468	GPL10123
GSE21478	GPL6987
GSE21478	GPL8887
GSE21478	GPL8888
GSE21536	GPL3718
GSE21536	GPL4091
GSE22016	GPL10461
GSE22133	GPL4723
GSE22133	GPL5345
GSE22133	GPL7247
GSE22185	GPL4093
GSE22547	GPL4091
GSE22928	GPL6801
GSE22928	GPL6984
GSE22928	GPL9128
GSE23414	GPL6801
GSE23869	GPL6782
GSE23869	GPL6947
GSE23720	GPL570
GSE23720	GPL9128
GSE24481	GPL3718
GSE24481	GPL3720
GSE25399	GPL2004
GSE25399	GPL2005
GSE25589	GPL3720
GSE26034	GPL6801
GSE26053	GPL6801
GSE2959	GPL1266
GSE2959	GPL2641
GSE26389	GPL2842
GSE26389	GPL10743
GSE26389	GPL11274
GSE26389	GPL11275
GSE26286	GPL6983
GSE26286	GPL6984
GSE26792	GPL3720
GSE27105	GPL6801
GSE27286	GPL13171
GSE27560	GPL6801
GSE27692	GPL570
GSE27692	GPL6801
GSE28013	GPL8581
GSE28676	GPL9777
GSE28684	GPL3718
GSE28684	GPL3720
GSE29065	GPL4723
GSE3208	GPL2790
GSE24876	GPL4133
GSE24876	GPL5114
GSE29569	GPL6801
GSE29851	GPL6801
GSE29876	GPL4910
GSE29876	GPL4911
GSE29876	GPL4912
GSE29876	GPL4913
GSE29876	GPL4914
GSE29876	GPL4915
GSE29876	GPL4916
GSE29876	GPL6801
GSE30348	GPL6801
GSE30754	GPL5477
GSE31798	GPL14360
GSE32535	GPL4723
GSE32567	GPL4091
GSE32567	GPL14652
GSE32897	GPL4091
GSE32964	GPL6947
GSE32964	GPL6985
GSE33501	GPL14846
GSE33602	GPL3718
GSE33733	GPL6801
GSE34323	GPL6801
GSE34768	GPL15068
GSE3827	GPL2705
GSE3827	GPL3254
GSE3931	GPL1282
GSE3931	GPL2705
GSE3931	GPL3040
GSE3931	GPL3044
GSE3931	GPL3275
GSE37023	GPL96
GSE37023	GPL97
GSE37023	GPL2834
GSE38323	GPL8882
GSE38888	GPL14965
GSE38888	GPL15436
GSE37586	GPL8693
GSE4244	GPL3455
GSE39036	GPL6980
GSE4185	GPL3291
GSE4185	GPL3335
GSE4185	GPL3428
GSE38525	GPL8887
GSE37906	GPL6979
GSE37906	GPL6985
GSE37906	GPL8855
GSE40405	GPL3718
GSE97292	GPL9077
GSE70650	GPL6801
GSE93037	GPL6801
